iter	Logloss
562	0.05087008322
563	0.05070096185
564	0.05057432008
565	0.05041880794
566	0.05029698626
567	0.05018409411
568	0.0500669167
569	0.04997331436
570	0.04985870554
571	0.04973709126
572	0.04956111988
573	0.0494645587
574	0.04937241386
575	0.049250647
576	0.04909185826
577	0.04893490012
578	0.04879896843
579	0.04868202007
580	0.04851156883
581	0.04836385154
582	0.04819940068
583	0.04808362525
584	0.04795664341
585	0.047874494
586	0.04777192883
587	0.04763100105
588	0.04739110816
589	0.04729073697
590	0.04711692871
591	0.04695269444
592	0.04683886458
593	0.04667873111
594	0.04656079491
595	0.04648045834
596	0.04634837929
597	0.04622649311
598	0.04613527895
599	0.04602072351
600	0.0458367848
601	0.04570773616
602	0.045463547
603	0.04534058448
604	0.04522303891
605	0.0451490018
606	0.0450135032
607	0.04493073002
608	0.04478629934
609	0.04470541424
610	0.0446067825
611	0.04448125559
612	0.04437573233
613	0.0442788288
614	0.04420837409
615	0.04406132778
616	0.04395986082
617	0.04384106733
618	0.0437214101
619	0.04363577845
620	0.04350490687
621	0.04343051165
622	0.04325435529
623	0.04315498524
624	0.04305881831
625	0.04292769459
626	0.04285584305
627	0.04267329861
628	0.04256618662
629	0.0424636034
630	0.04236376328
631	0.04229488729
632	0.04215763445
633	0.04208364237
634	0.04200165101
635	0.0418302593
636	0.04171510419
637	0.04161015595
638	0.04150472736
639	0.04138925358
640	0.04128116907
641	0.04118368072
642	0.04098441713
643	0.04089410736
644	0.04082506757
645	0.04073571547
646	0.04060254161
647	0.04046476819
648	0.04038707593
649	0.04027681223
650	0.04017529647
651	0.04009768218
652	0.04002002786
653	0.03990409561
654	0.03982654688
655	0.03976834299
656	0.03966685188
657	0.03957268069
658	0.03945114346
659	0.03937232457
660	0.03929595059
661	0.03922236663
662	0.03914573986
663	0.03901627617
664	0.03891239331
665	0.0388400386
666	0.03875143406
667	0.03869699006
668	0.03861007627
669	0.03852198874
670	0.03843785237
671	0.03831429003
672	0.03823719796
673	0.03813219949
674	0.03806963504
675	0.03795916039
676	0.03791706248
677	0.03784183381
678	0.03777328336
679	0.03772812166
680	0.03763739791
681	0.03754183629
682	0.03747755928
683	0.03741332883
684	0.03735112287
685	0.03728687119
686	0.03716114406
687	0.03709307853
688	0.03700061031
689	0.03690680002
690	0.03685040836
691	0.03679008471
692	0.03671254071
693	0.0366306881
694	0.03654927058
695	0.03647492227
696	0.03640152873
697	0.03631944723
698	0.03624170268
699	0.03614696035
700	0.03606349908
701	0.03597442473
702	0.03588957861
703	0.03579908969
704	0.03574277093
705	0.03567219076
706	0.03562061968
707	0.0355275322
708	0.03545793207
709	0.0353727106
710	0.03528563428
711	0.03521190238
712	0.03514612615
713	0.03508131749
714	0.03502648108
715	0.03495515734
716	0.0348829155
717	0.03482883847
718	0.03477407494
719	0.03469597037
720	0.03460272143
721	0.03447488906
722	0.03437994556
723	0.03429813444
724	0.03424270076
725	0.03418313118
726	0.03403280798
727	0.03398022271
728	0.03392824437
729	0.03386489893
730	0.03380667916
731	0.03375907144
732	0.03360049525
733	0.03353419001
734	0.03343977606
735	0.03336009399
736	0.03331313019
737	0.03326874719
738	0.03321498382
739	0.03315346347
740	0.03303819179
741	0.03298601572
742	0.03289917428
743	0.03285056933
744	0.03278645506
745	0.03270705821
746	0.03264477939
747	0.03255908231
748	0.03250768658
749	0.03242998621
750	0.03237790966
751	0.03233326381
752	0.03225287321
753	0.03218933706
754	0.03212680503
755	0.03204923429
756	0.03197392696
757	0.03189559334
758	0.03184176319
759	0.0317737239
760	0.03168625023
761	0.03163097299
762	0.03154561176
763	0.0314732629
764	0.03141611192
765	0.03128401371
766	0.03121980027
767	0.03115313314
768	0.03107162831
769	0.03101377974
770	0.03093841012
771	0.03088061892
772	0.03082279512
773	0.03076227653
774	0.03070604924
775	0.03064808665
776	0.03059095062
777	0.03054705307
778	0.03048643781
779	0.03039440545
780	0.03033659437
781	0.03026414801
782	0.03018431443
783	0.03014552213
784	0.03006649145
785	0.02999781022
786	0.02994232156
787	0.02987507148
788	0.02980977387
789	0.02976687436
790	0.02972980112
791	0.02968484304
792	0.02964005981
793	0.02958897145
794	0.02950586812
795	0.02944303982
796	0.02940250393
797	0.02933744988
798	0.029277452
799	0.02923482843
800	0.02919707288
801	0.02914466549
802	0.02909716104
803	0.0290481098
804	0.02899627278
805	0.02894517819
806	0.02885769334
807	0.02883357209
808	0.02877629085
809	0.02869050242
810	0.02865733134
811	0.02855453606
812	0.02851606371
813	0.0284593113
814	0.0284122859
815	0.02835093955
816	0.02830914639
817	0.02827555915
818	0.02824355236
819	0.02820791642
820	0.02815829372
821	0.02809945765
822	0.0280482033
823	0.02801666097
824	0.02795863242
825	0.02791580369
826	0.02786844905
827	0.02782951702
828	0.02777801409
829	0.02771010859
830	0.02766477434
831	0.02754099087
832	0.02747505597
833	0.02740865041
834	0.02735989754
835	0.02731070489
836	0.02724677542
837	0.02720829153
838	0.02713270451
839	0.02708768988
840	0.02704038899
841	0.02699127338
842	0.02689130979
843	0.02686222249
844	0.02680442498
845	0.02677256734
846	0.02672180855
847	0.02667387437
848	0.02663139517
849	0.02658287518
850	0.0265389812
851	0.02649600652
852	0.026439974
853	0.02641810184
854	0.02636320245
855	0.02632571797
856	0.02628694469
857	0.02622981276
858	0.02620553169
859	0.02615744988
860	0.0261240552
861	0.0260864472
862	0.02603425514
863	0.02599268231
864	0.02595479667
865	0.02592474746
866	0.02588315864
867	0.02585460043
868	0.02577298978
869	0.02573294336
870	0.02569845729
871	0.02566575171
872	0.02561793229
873	0.02557721236
874	0.02553715349
875	0.02550685962
876	0.02546052733
877	0.02539920927
878	0.02534980492
879	0.02531032339
880	0.02526418484
881	0.02522749212
882	0.02517383838
883	0.02511866888
884	0.02507566006
885	0.02499815808
886	0.02496511407
887	0.02492104936
888	0.02489428611
889	0.02485912543
890	0.02483072598
891	0.02479286968
892	0.02476260053
893	0.02471167908
894	0.02468010067
895	0.02462793527
896	0.02460644471
897	0.02456454041
898	0.02453390706
899	0.02448000501
900	0.02444076863
901	0.02438833008
902	0.02435272895
903	0.024311241
904	0.02426916348
905	0.02421901607
906	0.02418752321
907	0.02413934695
908	0.02409520564
909	0.0240531291
910	0.02400455956
911	0.02396532848
912	0.02392369197
913	0.02389094625
914	0.02385734211
915	0.0238279101
916	0.02373891233
917	0.02368443654
918	0.02365083971
919	0.02359639462
920	0.02353285064
921	0.02349078328
922	0.02343720884
923	0.02339864703
924	0.02336400859
925	0.02333400532
926	0.02327924182
927	0.02325571374
928	0.02321652531
929	0.023179257
930	0.02311720374
931	0.02308129506
932	0.02305533692
933	0.02299522984
934	0.02294002641
935	0.02290814782
936	0.02287907241
937	0.02284352838
938	0.02281707179
939	0.02278058199
940	0.02275232992
941	0.02272164377
942	0.02269405928
943	0.02267020025
944	0.02263093447
945	0.02259174098
946	0.02255706337
947	0.022532094
948	0.02249445194
949	0.02245945422
950	0.02241530328
951	0.02236499858
952	0.02233751653
953	0.02230447776
954	0.02227153358
955	0.02224685382
956	0.02220024698
957	0.02217636516
958	0.02215576161
959	0.0221291165
960	0.02210065089
961	0.02206556422
962	0.02201930277
963	0.02198767931
964	0.02196266239
965	0.02193075259
966	0.02190165115
967	0.02188148797
968	0.02182078247
969	0.02179446284
970	0.02177253847
971	0.02174327312
972	0.02171575725
973	0.02168031713
974	0.02163670191
975	0.02161226781
976	0.02158546469
977	0.02155667754
978	0.02153429958
979	0.0215137019
980	0.02147246578
981	0.02142910649
982	0.0213687037
983	0.02133207909
984	0.02129566983
985	0.02124760428
986	0.02120411109
987	0.02115092557
988	0.02112206173
989	0.02108824205
990	0.02106510199
991	0.02102775622
992	0.02097928154
993	0.0209493247
994	0.02091078931
995	0.02087369952
996	0.02085191759
997	0.02082619449
998	0.02080346963
999	0.02077713678
